epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,6645.59,1.13016,1.55975,0.79495,0.23938,0.08626,0.04239,0.02684,1.50454,5.2634,0.68771,1.133e-05,1.133e-05,1.133e-05
77,6732.55,1.13549,1.587,0.79604,0.22348,0.08673,0.04584,0.0278,1.49884,5.23675,0.68726,1.08944e-05,1.08944e-05,1.08944e-05
78,6819.19,1.13727,1.58053,0.79445,0.22306,0.08006,0.04556,0.02778,1.4959,5.28979,0.68676,1.04588e-05,1.04588e-05,1.04588e-05
79,6905.88,1.12798,1.55338,0.79274,0.23343,0.08046,0.04372,0.02645,1.49556,5.29226,0.686,1.00232e-05,1.00232e-05,1.00232e-05
80,6992.64,1.132,1.54093,0.79575,0.23884,0.07369,0.04387,0.0267,1.49161,5.28719,0.68634,9.5876e-06,9.5876e-06,9.5876e-06
81,7079.67,1.13086,1.53334,0.79271,0.24196,0.07213,0.04226,0.02533,1.49485,5.31131,0.68652,9.152e-06,9.152e-06,9.152e-06
82,7166.81,1.12745,1.55307,0.79437,0.24111,0.0755,0.04516,0.02586,1.50022,5.26139,0.68625,8.7164e-06,8.7164e-06,8.7164e-06
83,7253.64,1.11353,1.53947,0.79335,0.24298,0.08449,0.04693,0.02704,1.49785,5.19046,0.68671,8.2808e-06,8.2808e-06,8.2808e-06
84,7340.58,1.13336,1.5345,0.79489,0.23296,0.08304,0.04381,0.0269,1.50131,5.24251,0.68742,7.8452e-06,7.8452e-06,7.8452e-06
85,7427.57,1.11231,1.53218,0.79769,0.23129,0.08521,0.0479,0.02811,1.50083,5.2596,0.68713,7.4096e-06,7.4096e-06,7.4096e-06
86,7514.92,1.13519,1.52726,0.79588,0.22311,0.08478,0.04749,0.02789,1.5055,5.34582,0.68717,6.974e-06,6.974e-06,6.974e-06
87,7602.04,1.10918,1.50457,0.79562,0.23082,0.07502,0.04746,0.02796,1.49982,5.32865,0.68733,6.5384e-06,6.5384e-06,6.5384e-06
88,7689.11,1.11682,1.51392,0.79566,0.23095,0.0737,0.04662,0.02684,1.50822,5.34495,0.68738,6.1028e-06,6.1028e-06,6.1028e-06
89,7776.26,1.14312,1.54588,0.79433,0.22463,0.07495,0.04692,0.02727,1.50299,5.32567,0.68696,5.6672e-06,5.6672e-06,5.6672e-06
90,7863.28,1.11685,1.50356,0.79366,0.22616,0.07628,0.04717,0.02759,1.49977,5.32788,0.68726,5.2316e-06,5.2316e-06,5.2316e-06
91,7965.09,1.03357,1.42504,0.79804,0.21042,0.08097,0.04558,0.0281,1.50184,5.47231,0.68793,4.796e-06,4.796e-06,4.796e-06
92,8052.06,1.04212,1.42602,0.80002,0.21024,0.08123,0.04459,0.02781,1.5015,5.48729,0.68789,4.3604e-06,4.3604e-06,4.3604e-06
93,8138.92,1.01483,1.3903,0.79787,0.22138,0.08362,0.04504,0.02796,1.50519,5.48661,0.68799,3.9248e-06,3.9248e-06,3.9248e-06
94,8225.88,1.03047,1.41189,0.79736,0.222,0.08344,0.04429,0.02674,1.50763,5.43568,0.68786,3.4892e-06,3.4892e-06,3.4892e-06
95,8313.33,1.01656,1.39778,0.79788,0.22123,0.08204,0.04407,0.02646,1.5009,5.45965,0.68735,3.0536e-06,3.0536e-06,3.0536e-06
96,8400.7,1.01023,1.39325,0.7997,0.22477,0.08409,0.04402,0.02669,1.49462,5.43704,0.68666,2.618e-06,2.618e-06,2.618e-06
97,8487.5,1.02351,1.38879,0.79703,0.22404,0.08516,0.04401,0.02645,1.49703,5.47459,0.68689,2.1824e-06,2.1824e-06,2.1824e-06
98,8574.71,1.03198,1.38835,0.79684,0.22312,0.08127,0.04399,0.02636,1.50121,5.45915,0.68687,1.7468e-06,1.7468e-06,1.7468e-06
99,8661.77,1.03075,1.39001,0.79631,0.21022,0.08148,0.04363,0.02626,1.49827,5.47582,0.68696,1.3112e-06,1.3112e-06,1.3112e-06
100,8749.09,1.01431,1.3699,0.79666,0.21108,0.08514,0.04465,0.0272,1.49824,5.4741,0.68695,8.756e-07,8.756e-07,8.756e-07
