epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,9308.4,1.18401,1.6382,0.7989,0.253,0.06045,0.03705,0.02609,1.57013,5.13244,0.68469,1.96064e-05,1.96064e-05,1.96064e-05
58,9462.46,1.19074,1.63982,0.79879,0.28407,0.05599,0.03616,0.02503,1.55315,5.25731,0.68299,1.91708e-05,1.91708e-05,1.91708e-05
59,9616.37,1.17819,1.60662,0.80365,0.25385,0.05856,0.03684,0.02612,1.54603,5.15207,0.68214,1.87352e-05,1.87352e-05,1.87352e-05
60,9770.54,1.191,1.59061,0.80001,0.25922,0.06064,0.0371,0.02594,1.55032,5.07959,0.68281,1.82996e-05,1.82996e-05,1.82996e-05
61,9924.4,1.18631,1.59725,0.79748,0.26477,0.06064,0.04205,0.02874,1.55434,5.1154,0.68281,1.7864e-05,1.7864e-05,1.7864e-05
62,10078.2,1.16679,1.59063,0.79682,0.28962,0.06538,0.04209,0.02898,1.54819,5.10612,0.68207,1.74284e-05,1.74284e-05,1.74284e-05
63,10233.2,1.18302,1.5967,0.79996,0.27905,0.06407,0.03749,0.02596,1.54256,5.12318,0.68122,1.69928e-05,1.69928e-05,1.69928e-05
64,10388,1.1673,1.56641,0.80289,0.26311,0.06279,0.04217,0.02955,1.5435,5.12012,0.68191,1.65572e-05,1.65572e-05,1.65572e-05
65,10542.8,1.18535,1.57259,0.79638,0.26838,0.06783,0.03632,0.02527,1.54443,5.15709,0.682,1.61216e-05,1.61216e-05,1.61216e-05
66,10697.1,1.17788,1.56862,0.79826,0.27597,0.07042,0.03675,0.02553,1.53353,5.13985,0.68241,1.5686e-05,1.5686e-05,1.5686e-05
67,10851.5,1.18608,1.57449,0.7973,0.27581,0.06589,0.03835,0.02702,1.53449,5.13484,0.68066,1.52504e-05,1.52504e-05,1.52504e-05
68,11005.9,1.17375,1.5454,0.79786,0.27906,0.06278,0.03789,0.02675,1.53342,5.07432,0.67878,1.48148e-05,1.48148e-05,1.48148e-05
