               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  83,              1.0308,              1.4137,             0.83794,             0.31583,            0.091813,            0.053541,            0.036223,             0.98201,              4.7487,             0.68626,            0.001882,            0.001882,            0.001882
                  84,              1.0166,              1.3849,             0.83723,                0.29,            0.088033,            0.060126,            0.040356,             0.98234,              4.7221,             0.68628,            0.001783,            0.001783,            0.001783
                  85,              1.0355,              1.4011,             0.83474,             0.29424,            0.086172,            0.057682,            0.039071,             0.98458,              4.6768,             0.68574,            0.001684,            0.001684,            0.001684
                  86,              1.0307,               1.394,             0.83063,             0.28916,            0.095248,            0.065305,            0.045389,              0.9774,              4.7238,             0.68558,            0.001585,            0.001585,            0.001585
                  87,              1.0386,              1.4161,             0.83181,             0.29414,            0.092526,            0.063883,            0.044001,             0.98098,              4.7956,             0.68659,            0.001486,            0.001486,            0.001486
                  88,               1.032,              1.4014,             0.83624,             0.29831,            0.092597,            0.063519,            0.044632,             0.97683,              4.7526,             0.68509,            0.001387,            0.001387,            0.001387
                  89,              1.0188,              1.3943,              0.8313,             0.28968,            0.084315,            0.065149,            0.046138,             0.97518,              4.7406,             0.68425,            0.001288,            0.001288,            0.001288
                  90,              1.0173,              1.3884,             0.83141,             0.29239,            0.091844,            0.068788,            0.049381,              0.9794,              4.6531,             0.68439,            0.001189,            0.001189,            0.001189
                  91,              1.0173,              1.3722,             0.82906,             0.29966,            0.094718,             0.06521,            0.046014,              0.9814,              4.6788,             0.68572,             0.00109,             0.00109,             0.00109
                  92,              1.0271,              1.3723,             0.83657,             0.29353,             0.09172,            0.065763,            0.046553,             0.98276,              4.6275,             0.68479,            0.000991,            0.000991,            0.000991
                  93,              1.0129,              1.3691,              0.8299,             0.31015,            0.094241,            0.065395,            0.046218,             0.98612,              4.5962,             0.68483,            0.000892,            0.000892,            0.000892
                  94,              1.0167,              1.3717,             0.83627,              0.2888,             0.09362,            0.068299,            0.048375,             0.97698,              4.6277,             0.68404,            0.000793,            0.000793,            0.000793
                  95,              1.0191,              1.3543,             0.83123,             0.29012,            0.093751,            0.068003,            0.048371,             0.97838,              4.6768,             0.68455,            0.000694,            0.000694,            0.000694
                  96,             0.99442,              1.3475,             0.83145,             0.30288,            0.094972,            0.073639,            0.053056,             0.98053,               4.647,             0.68459,            0.000595,            0.000595,            0.000595
                  97,             0.99943,              1.3349,             0.83275,             0.29433,            0.091613,            0.073368,            0.053145,             0.97628,              4.6312,             0.68512,            0.000496,            0.000496,            0.000496
                  98,               1.008,              1.3404,             0.83096,             0.28467,            0.094088,            0.073165,            0.053404,             0.97608,              4.6241,             0.68442,            0.000397,            0.000397,            0.000397
                  99,              0.9974,              1.3219,             0.82897,             0.28973,            0.093644,            0.073475,            0.053576,             0.97615,              4.6429,             0.68507,            0.000298,            0.000298,            0.000298
